courseId,name,class,lecturer,room,day,startSlot,endSlot,startTime,endTime,durationSlots,roomType,capacityNeed
MG1BK02,Berpikir Kreatif Sistemik,MG-1B,Roostikasari Nugraheni  S.Hum.  M.Med.Kom.,G3.R4,Mon,0,4,07:30,10:50,4,theory,30
FE1BS13,Manajemen Pemasaran,AK-3B,Alfina  S.M.  M.M.,G4.R2,Wed,4,10,10:50,15:50,6,theory,30
MG1P353,Manajemen Ritel,MG-A,Aditya Narendra Wardhana  S.T.  M.SM.,C102,Fri,0,6,07:30,12:30,6,theory,30
FE1MB03,Matematika Bisnis,AK-1B,Aditya Narendra Wardhana  S.T.  M.SM.,G3.R1,Wed,8,14,14:10,19:10,6,theory,30
MG1PO13,Perilaku Organisasi,MG-5B,Mirza Dwinanda Ilmawan  S.E.  M.M.,Coal Mill 205,Wed,4,10,10:50,15:50,6,theory,30
MG1PB03,Pengantar Bisnis,MG-1C,Dr. Gatot Kustyadji  S.E.  M.Si,G4.R2,Tue,6,12,12:30,17:30,6,theory,30
MG7MM13,Manajemen Merek,MG-A,Alfina  S.M.  M.M.,G4.R4,Tue,0,6,07:30,12:30,6,theory,30
MG1X453,Komunikasi Pemasaran Terpadu,MG-A,Alfina  S.M.  M.M.,G4.R3,Mon,0,6,07:30,12:30,6,theory,30
FE1BS13,Manajemen Pemasaran,AK-3B,Alfina  S.M.  M.M.,Coal Mill 102,Thu,6,12,12:30,17:30,6,theory,30
MG1BK02,Berpikir Kreatif Sistemik,MG-1B,Roostikasari Nugraheni  S.Hum.  M.Med.Kom.,Coal Mill 208,Wed,10,14,15:50,19:10,4,theory,30
FE1BS13,Manajemen Pemasaran,AK-3B,Alfina  S.M.  M.M.,G3.R5,Fri,0,6,07:30,12:30,6,theory,30
MG1AB23,Akuntansi Biaya,MG-3B,Marisya Mahdia Khoirina  S.M.  M.M.,G3.R5,Thu,8,14,14:10,19:10,6,theory,30
MG1PA03,Pengantar Akuntansi 1,MG-1C,Husnunnida Maharani,Coal Mill 207,Thu,0,6,07:30,12:30,6,theory,30
MG1PA03,Pengantar Akuntansi 1,MG-1C,Husnunnida Maharani,Coal Mill 301,Fri,0,6,07:30,12:30,6,theory,30
MG1PA03,Pengantar Akuntansi 1,MG-1C,Husnunnida Maharani,Coal Mill 101,Tue,0,6,07:30,12:30,6,theory,30
MG1MK13,Metode Kuantitatif Bisnis,MG-5B,Lisa Risfana Sari S.Si.  M.Si,G3.R4,Thu,10,14,15:50,19:10,4,theory,30
MG1PF13,Perpajakan dan Fiskal,MG-5B,Yanuar Trisnowati  S.E.  M.M.,G4.R3,Tue,3,9,10:00,15:00,6,theory,30
